A wojel tu'ux u taal	Ma' a wojel tu'ux u taali'	TYPE:NEG;SUBTYPE:DEC
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	PERSON:2_PL
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	PERSON:3_PL
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'antech buka'aj a ja'abili'	PERSON:2_SI
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'anto'on buka'aj k ja'abili'	PERSON:1_PL
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	PERSON:3_PL
Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	Ma' k'aja'antech buka'aj a ja'abili'	PERSON:2_SI
Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	Ma' k'aja'anto'on buka'aj k ja'abili'	PERSON:1_PL
Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	PERSON:2_PL
Ma' u ya'alik u k'aaba'	Ma' k a'alik u k'aaba'	PERSON:1_PL
Ma' u ya'alik u k'aaba'	Ma' a wa'alike'ex u k'aaba'	PERSON:2_PL
Ma' u ya'alik u k'aaba'	Ma' u ya'aliko'ob u k'aaba'	PERSON:3_PL
Ma' k a'alik u k'aaba'	Ma' u ya'alik u k'aaba'	PERSON:3_SI
Ma' k a'alik u k'aaba'	Ma' a wa'alike'ex u k'aaba'	PERSON:2_PL
Ma' k a'alik u k'aaba'	Ma' u ya'aliko'ob u k'aaba'	PERSON:3_PL
Ma' a wa'alike'ex u k'aaba'	Ma' u ya'alik u k'aaba'	PERSON:3_SI
Ma' a wa'alike'ex u k'aaba'	Ma' k a'alik u k'aaba'	PERSON:1_PL
Ma' a wa'alike'ex u k'aaba'	Ma' u ya'aliko'ob u k'aaba'	PERSON:3_PL
Ma' u ya'aliko'ob u k'aaba'	Ma' u ya'alik u k'aaba'	PERSON:3_SI
Ma' u ya'aliko'ob u k'aaba'	Ma' k a'alik u k'aaba'	PERSON:1_PL
Ma' u ya'aliko'ob u k'aaba'	Ma' a wa'alike'ex u k'aaba'	PERSON:2_PL
Ma' a wojel u ja'abili'	Ma' u yojel u ja'abili'	PERSON:3_SI
Ma' a wojel u ja'abili'	Ma' k ojel u ja'abili'	PERSON:1_PL
Ma' a wojel u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Ma' a wojel u ja'abili'	Ma' u yojelo'ob u ja'abili'	PERSON:3_PL
Ma' u yojel u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Ma' u yojel u ja'abili'	Ma' k ojel u ja'abili'	PERSON:1_PL
Ma' u yojel u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Ma' u yojel u ja'abili'	Ma' u yojelo'ob u ja'abili'	PERSON:3_PL
Ma' k ojel u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Ma' k ojel u ja'abili'	Ma' u yojel u ja'abili'	PERSON:3_SI
Ma' k ojel u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Ma' k ojel u ja'abili'	Ma' u yojelo'ob u ja'abili'	PERSON:3_PL
Ma' a wojele'ex u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Ma' a wojele'ex u ja'abili'	Ma' u yojel u ja'abili'	PERSON:3_SI
Ma' a wojele'ex u ja'abili'	Ma' k ojel u ja'abili'	PERSON:1_PL
Ma' a wojele'ex u ja'abili'	Ma' u yojelo'ob u ja'abili'	PERSON:3_PL
Ma' u yojelo'ob u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Ma' u yojelo'ob u ja'abili'	Ma' u yojel u ja'abili'	PERSON:3_SI
Ma' u yojelo'ob u ja'abili'	Ma' k ojel u ja'abili'	PERSON:1_PL
Ma' u yojelo'ob u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Ma' jach k'a'abéet u bin k'íiwikil koonoli'	Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'	PERSON:3_PL
Ma' jach k'a'abéet u bin k'íiwikil koonoli'	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'	Ma' jach k'a'abéet u bin k'íiwikil koonoli'	PERSON:3_SI
Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet u bin k'íiwikil koonoli'	PERSON:3_SI
Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'	PERSON:3_PL
Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	PERSON:3_PL
Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	PERSON:3_SI
Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	PERSON:3_SI
Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	PERSON:3_PL
Ma' kajakbalech tin wotochi'	Ma' kajakbal tin wotochi'	PERSON:3_SI
Ma' kajakbalech tin wotochi'	Ma' kajakbalo'on tin wotochi'	PERSON:1_PL
Ma' kajakbalech tin wotochi'	Ma' kajakbalo'ob tin wotochi'	PERSON:3_PL
Ma' kajakbal tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Ma' kajakbal tin wotochi'	Ma' kajakbalo'on tin wotochi'	PERSON:1_PL
Ma' kajakbal tin wotochi'	Ma' kajakbalo'ob tin wotochi'	PERSON:3_PL
Ma' kajakbalo'on tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Ma' kajakbalo'on tin wotochi'	Ma' kajakbal tin wotochi'	PERSON:3_SI
Ma' kajakbalo'on tin wotochi'	Ma' kajakbalo'ob tin wotochi'	PERSON:3_PL
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbal tin wotochi'	PERSON:3_SI
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbalo'on tin wotochi'	PERSON:1_PL
Ma' tu yu'ubik wáaj ooxoli'	Ma' tek u'uyik wáaj ooxoli'	PERSON:1_PL
Ma' tu yu'ubik wáaj ooxoli'	Ma' ta wu'uyike'ex wáaj ooxoli'	PERSON:2_PL
Ma' tu yu'ubik wáaj ooxoli'	Ma' tu yu'ubiko'ob wáaj ooxoli'	PERSON:3_PL
Ma' tek u'uyik wáaj ooxoli'	Ma' tu yu'ubik wáaj ooxoli'	PERSON:3_SI
Ma' tek u'uyik wáaj ooxoli'	Ma' ta wu'uyike'ex wáaj ooxoli'	PERSON:2_PL
Ma' tek u'uyik wáaj ooxoli'	Ma' tu yu'ubiko'ob wáaj ooxoli'	PERSON:3_PL
Ma' ta wu'uyike'ex wáaj ooxoli'	Ma' tu yu'ubik wáaj ooxoli'	PERSON:3_SI
Ma' ta wu'uyike'ex wáaj ooxoli'	Ma' tek u'uyik wáaj ooxoli'	PERSON:1_PL
Ma' ta wu'uyike'ex wáaj ooxoli'	Ma' tu yu'ubiko'ob wáaj ooxoli'	PERSON:3_PL
Ma' tu yu'ubiko'ob wáaj ooxoli'	Ma' tu yu'ubik wáaj ooxoli'	PERSON:3_SI
Ma' tu yu'ubiko'ob wáaj ooxoli'	Ma' tek u'uyik wáaj ooxoli'	PERSON:1_PL
Ma' tu yu'ubiko'ob wáaj ooxoli'	Ma' ta wu'uyike'ex wáaj ooxoli'	PERSON:2_PL
Ma' ta wu'uyik  wáaj ooxoli'	Ka wu'uyik wáaj ooxol	TYPE:AFF;SUBTYPE:INT
Ma' ta wu'uyike'ex wáaj ooxoli'	Te'exe' ka wu'uyike'ex wáaj ooxol	TYPE:AFF;SUBTYPE:INT
Ma' tan a k'íilkabi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Ma' tan a k'íilkabi'	Ma' tan k k'íilkabi'	PERSON:1_PL
Ma' tan a k'íilkabi'	Ma' tan a k'íilkabe'exi'	PERSON:2_PL
Ma' tan a k'íilkabi'	Ma' tan u k'íilkabo'obi'	PERSON:3_PL
Ma' tan u k'íilkabi'	Ma' tan a k'íilkabi'	PERSON:2_SI
Ma' tan u k'íilkabi'	Ma' tan k k'íilkabi'	PERSON:1_PL
Ma' tan u k'íilkabi'	Ma' tan a k'íilkabe'exi'	PERSON:2_PL
Ma' tan u k'íilkabi'	Ma' tan u k'íilkabo'obi'	PERSON:3_PL
Ma' tan k k'íilkabi'	Ma' tan a k'íilkabi'	PERSON:2_SI
Ma' tan k k'íilkabi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Ma' tan k k'íilkabi'	Ma' tan a k'íilkabe'exi'	PERSON:2_PL
Ma' tan k k'íilkabi'	Ma' tan u k'íilkabo'obi'	PERSON:3_PL
Ma' tan a k'íilkabe'exi'	Ma' tan a k'íilkabi'	PERSON:2_SI
Ma' tan a k'íilkabe'exi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Ma' tan a k'íilkabe'exi'	Ma' tan k k'íilkabi'	PERSON:1_PL
Ma' tan a k'íilkabe'exi'	Ma' tan u k'íilkabo'obi'	PERSON:3_PL
Ma' tan u k'íilkabo'obi'	Ma' tan a k'íilkabi'	PERSON:2_SI
Ma' tan u k'íilkabo'obi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Ma' tan u k'íilkabo'obi'	Ma' tan k k'íilkabi'	PERSON:1_PL
Ma' tan u k'íilkabo'obi'	Ma' tan a k'íilkabe'exi'	PERSON:2_PL
Ma' ta wilaj u sáastal ta kaajali'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Ma' ta wilaj u sáastal ta kaajali'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Ma' ta wilaj u sáastal ta kaajali'	Ma' tu yilo'ob u sáastal tu kaajalo'obi'	PERSON:3_PL
Ma' ta wilaj u sáastal ta kaajali'	Ma' ta wile'ex u sáastal ta kaajale'exi'	PERSON:2_PL
Ma' tu yilaj u sáastal tu kaajali'	Ma' ta wilaj u sáastal ta kaajali'	PERSON:2_SI
Ma' tu yilaj u sáastal tu kaajali'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Ma' tu yilaj u sáastal tu kaajali'	Ma' tu yilo'ob u sáastal tu kaajalo'obi'	PERSON:3_PL
Ma' tu yilaj u sáastal tu kaajali'	Ma' ta wile'ex u sáastal ta kaajale'exi'	PERSON:2_PL
Ma' tak ilaj u sáastal k kaajali'	Ma' ta wilaj u sáastal ta kaajali'	PERSON:2_SI
Ma' tak ilaj u sáastal k kaajali'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Ma' tak ilaj u sáastal k kaajali'	Ma' tu yilo'ob u sáastal tu kaajalo'obi'	PERSON:3_PL
Ma' tak ilaj u sáastal k kaajali'	Ma' ta wile'ex u sáastal ta kaajale'exi'	PERSON:2_PL
Ma' tu yilo'ob u sáastal tu kaajalo'obi'	Ma' ta wilaj u sáastal ta kaajali'	PERSON:2_SI
Ma' tu yilo'ob u sáastal tu kaajalo'obi'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Ma' tu yilo'ob u sáastal tu kaajalo'obi'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Ma' tu yilo'ob u sáastal tu kaajalo'obi'	Ma' ta wile'ex u sáastal ta kaajale'exi'	PERSON:2_PL
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' ta wilaj u sáastal ta kaajali'	PERSON:2_SI
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' tu yilo'ob u sáastal tu kaajalo'obi'	PERSON:3_PL
Ma' tin wilikech tu k'íiwikil koonol	Ma' ta wiliken tu k'íiwikil koonol	PERSON:2_SI
Ma' tin wilikech tu k'íiwikil koonol	Ma' tin wiliko'ob tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wilikech tu k'íiwikil koonol	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI
Ma' ta wiliken tu k'íiwikil koonol	Ma' tin wilikech tu k'íiwikil koonol	PERSON:1_SI
Ma' ta wiliken tu k'íiwikil koonol	Ma' tin wiliko'ob tu k'íiwikil koonol	PERSON:1_SI
Ma' ta wiliken tu k'íiwikil koonol	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wiliko'ob tu k'íiwikil koonol	Ma' tin wilikech tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wiliko'ob tu k'íiwikil koonol	Ma' ta wiliken tu k'íiwikil koonol	PERSON:2_SI
Ma' tin wiliko'ob tu k'íiwikil koonol	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' tin wilikech tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' ta wiliken tu k'íiwikil koonol	PERSON:2_SI
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' tin wiliko'ob tu k'íiwikil koonol	PERSON:1_SI
Ma' ta wu'uyik ooxoli'	Ma' tu yu'ubik ooxoli'	PERSON:3_SI
Ma' ta wu'uyik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' ta wu'uyik ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Ma' ta wu'uyik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' tu yu'ubik ooxoli'	Ma' ta wu'uyik ooxoli'	PERSON:2_SI
Ma' tu yu'ubik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' tu yu'ubik ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Ma' tu yu'ubik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' tu yu'ubiko'ob ooxoli'	Ma' ta wu'uyik ooxoli'	PERSON:2_SI
Ma' tu yu'ubiko'ob ooxoli'	Ma' tu yu'ubik ooxoli'	PERSON:3_SI
Ma' tu yu'ubiko'ob ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Ma' tu yu'ubiko'ob ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' ta wu'uyike'ex ooxoli'	Ma' ta wu'uyik ooxoli'	PERSON:2_SI
Ma' ta wu'uyike'ex ooxoli'	Ma' tu yu'ubik ooxoli'	PERSON:3_SI
Ma' ta wu'uyike'ex ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' ta wu'uyike'ex ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' tu yu'ubiko'ob ooxoli'	Ma' ta wu'uyik ooxoli'	PERSON:2_SI
Ma' tu yu'ubiko'ob ooxoli'	Ma' tu yu'ubik ooxoli'	PERSON:3_SI
Ma' tu yu'ubiko'ob ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' tu yu'ubiko'ob ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Ma' ts'oka'an a beeli'	Ma' ts'oka'an u beeli'	PERSON:3_SI
Ma' ts'oka'an a beeli'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Ma' ts'oka'an a beeli'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Ma' ts'oka'an a beeli'	Ma' ts'oka'an u beelo'obi'	PERSON:3_PL
Ma' ts'oka'an u beeli'	Ma' ts'oka'an a beeli'	PERSON:2_SI
Ma' ts'oka'an u beeli'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Ma' ts'oka'an u beeli'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Ma' ts'oka'an u beeli'	Ma' ts'oka'an u beelo'obi'	PERSON:3_PL
Ma' ts'oka'an k beeli'	Ma' ts'oka'an a beeli'	PERSON:2_SI
Ma' ts'oka'an k beeli'	Ma' ts'oka'an u beeli'	PERSON:3_SI
Ma' ts'oka'an k beeli'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Ma' ts'oka'an k beeli'	Ma' ts'oka'an u beelo'obi'	PERSON:3_PL
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an a beeli'	PERSON:2_SI
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an u beeli'	PERSON:3_SI
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an u beelo'obi'	PERSON:3_PL
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an a beeli'	PERSON:2_SI
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an u beeli'	PERSON:3_SI
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Ma' táan a bin ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Ma' táan a bin ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Ma' táan a bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' táan a bin ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Ma' táan u bin ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Ma' táan u bin ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Ma' táan u bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' táan u bin ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Ma' táan u bino'ob ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Ma' táan u bino'ob ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Ma' táan u bino'ob ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' táan u bino'ob ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Ma' táan a bine'ex ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Ma' táan a bine'ex ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Ma' táan a bine'ex ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Ma' táan a bine'ex ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Ma' táan ek bin ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Ma' táan ek bin ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Ma' táan ek bin ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Ma' táan ek bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' táan a bin koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
Ma' táan a bin koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi'	PERSON:3_PL
Ma' táan a bin koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	PERSON:2_PL
Ma' táan a bin koonol merkaadoi'	Ma' táan k bin koonol merkaadoi'	PERSON:3_PL
Ma' táan u bin koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Ma' táan u bin koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi'	PERSON:3_PL
Ma' táan u bin koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	PERSON:2_PL
Ma' táan u bin koonol merkaadoi'	Ma' táan k bin koonol merkaadoi'	PERSON:3_PL
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	PERSON:2_PL
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan k bin koonol merkaadoi'	PERSON:3_PL
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi'	PERSON:3_PL
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan k bin koonol merkaadoi'	PERSON:3_PL
Ma' táan k bin koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Ma' táan k bin koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
Ma' táan k bin koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi'	PERSON:3_PL
Ma' táan k bin koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	PERSON:2_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan a bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Ma' táan k bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan k bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
