Source	Target	Change
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Táan wáaj a xooke'ex xook tu naajil xook	Táan wáaj a xooke'ex xook tu naajil xook	NOCHANGE
Tu meentik janal ich kool	Ta meentike'ex janal ich kool	PERSON:2_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Jbine'ex yéetel a éetailo'ob merkaado	Jbinech yéetel a éetailo'ob merkaado	PERSON:2_SI
Tu kaxko'ob a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Tu'ux kajakbalo'ob	Tu'ux kajakbalech	PERSON:2_SI
Táan a suut tu naajil xook	Táan a suute'ex xook tu naajil xook	PERSON:2_PL
Ts'oka'an wáaj in beel	Ts'oka'an wáaj in beel	NOCHANGE
Yaan wáaj u bino'ob ich kool	Yaan wáaj u bin ich kool	PERSON:3_SI
óok'otnajo'on tu naajil xook	óok'otnaje'ex tu naajil xook	PERSON:3_PL
To'one' kajakbalo'on weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' ta wu'uyike'ex wáaj ooxoli'	Ma' tek u'uyik wáaj ooxoli'	PERSON:1_PL
To'onen yaanto'on u áanalte'il k xook matemáticas	Leti'e' yaan u áanalte'il u xook matemáticas	PERSON:3_SI
Tan u k'íilkabo'ob	Tan a k'íilkab	PERSON:2_SI
Táan a bin koonol merkaado	Táan u bin koonol merkaado	PERSON:3_SI
Mix to'on kajakbalo'on ta wotoch	Mix to'on kajakbalo'on ta wotoch	NOCHANGE
Ma' tak ilaj u sáastal k kaajali'	Ma' tu yilo'ob u sáastal tu kaajalo'obi'	PERSON:3_PL
Ma' táan a bine'ex ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Leti'e' ma' jbúuli'	Teche' ma' jbúulechi'	PERSON:2_SI
Leti'e' jbúulij	Te'exe' jbúule'ex	PERSON:2_PL
Jbinech yéetel a éetailo'ob merkaado	Jbinech yéetel a éetailo'ob merkaado	NOCHANGE
Tu yilaj wáaj u sáastal tu kaajal	k ilaj wáaj u sáastal k kaajal	PERSON:1_PL
Ma' kajakbal tin wotochi'	Ma' kajakbalo'on tin wotochi'	PERSON:1_PL
Teche' ti' a taali'	To'one' ti' k taali'	PERSON:1_PL
Ook'in a bin tu k'íiwikil koonol	Ook'in a bine'ex k'íiwikil koonol	PERSON:2_PL
Ta wile'ex wáaj u sáastal ta kaajale'ex	k ilaj wáaj u sáastal k kaajal	PERSON:1_PL
Leti'obe' u k'aaba'obe'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
Táan wáaj k xook tu naajil xook	Táan wáaj a xooke'ex xook tu naajil xook	PERSON:2_PL
Leti'e' yaan u áanalte'il u xook matemáticas	Leti'e' yaan u áanalte'il u xook matemáticas	NOCHANGE
Táan a meyaje'ex ich kool	Táan ek meyaj ich kool	PERSON:1_PL
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Ma' wáaj tu bino'ob merkaado	Ma' wáaj tu bino'ob merkaado	NOCHANGE
Ts'oka'an wáaj a beele'ex	Ts'oka'an wáaj a beele'ex	NOCHANGE
Kin manik nikte'ob tu k'íiwikil koonol	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Táan u kaxtiko'ob a naajil	Tan k kaxtik a najil	PERSON:1_PL
Ma' táan u bin ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Leti'e' yaan xook ti' español	Leti'e' yaan xook ti' español	NOCHANGE
k'a'abéet in bin koonol tu k'íiwikil koonol	Suuk in bin koonol tu k'íiwikil koonol	ASPECT:CUS
Ta'aytak a chukike'ex u ja'abil	Ta'aytak a chukike'ex u ja'abil	NOCHANGE
Yaan a xook tu naajil xook	Yaan k xook tu naajil xook	PERSON:1_PL
Ook'in in bin merkaado	Ook'in in bin merkaado	NOCHANGE
Ma' in wojel u ja'abili'	Ma' in wojel u ja'abili'	NOCHANGE
Ma' ta wu'uyike'ex ooxoli'	Ma' ta wu'uyik ooxoli'	PERSON:2_SI
Jbinen yéetel in éetailo'ob janal ich kool	Jbinen yéetel in éetailo'ob janal ich kool	NOCHANGE
Te' u taalo'ob tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Suuk in suut koonol merkaado	Suuk in suut koonol merkaado	NOCHANGE
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	Tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
Ma' tu yu'ubiko'ob wáaj ooxoli'	Ma' tu yu'ubik wáaj ooxoli'	PERSON:3_SI
Yaan a suut tu naajil xook	Yaan k suut tu naajil xook	PERSON:1_PL
Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Jach k'a'abéet in bin tu k'íiwikil koonol	PERSON:1_SI
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet u bin merkaado	NOCHANGE
Tene' in wojel u ja'abili'	Tene' in wojel u ja'abili'	NOCHANGE
Táan wáaj a boone'ex xook tu naajil xook	Táan wáaj k boon tu naajil xook	PERSON:1_PL
Tu kaxtik a najil	Tu kaxko'ob a najil	PERSON:3_PL
Ma' ta wu'uyik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Yaan wáaj a bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Táan u báaxalo'ob tu naajil báaxal	Táan u báaxal tu naajil báaxal	PERSON:3_SI
Leti'e' ku bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
k'aaynajo'ob tu naajil xook	k'aaynaje'ex tu naajil xook	PERSON:2_PL
óok'otnajo'on tu naajil xook	óok'otnajo'on tu naajil xook	NOCHANGE
Ma' in k'aaba'i'	Ma' in k'aaba'i'	NOCHANGE
Te'exe' áak'ab ka bine'ex merkaado	To'one' áak'ab kek bin merkaado	PERSON:1_PL
Leti'e' ku bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	PERSON:3_SI
Teche' ka báaxal paarkée	Leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Ma' k ojel u ja'abili'	Ma' k ojel u ja'abili'	NOCHANGE
Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Jach k'a'abéet a bine'ex tu k'íiwikil koonol	NOCHANGE
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet a bine'ex merkaado	PERSON:2_PL
Táan a xooke'ex xook tu naajil xook	Táan a xook tu naajil xook	PERSON:2_SI
Sáansamal kin bin tu k'íiwikil koonol	Sáansamal kin bin tu k'íiwikil koonol	NOCHANGE
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	NOCHANGE
Leti'obe' ku báaxalo'ob paarkée	Leti'e' ku báaxal paarkée	PERSON:3_SI
Tu'ux kajakbalo'on	Tu'ux kajakbalo'ob	PERSON:3_PL
Táan ek meyaj ich kool	Táan u meyajo'ob ich kool	PERSON:3_PL
Leti'e' kajakbal weye'	Leti'e' kajakbal weye'	NOCHANGE
Jach k'a'abéet u bino'ob tu k'íiwikil koonol	Jach k'a'abéet in bin tu k'íiwikil koonol	PERSON:1_SI
Táan u suuto'ob tu naajil xook	Táan a suute'ex xook tu naajil xook	PERSON:2_PL
Suuk in suut koonol merkaado	Taak in suut koonol merkaado	ASPECT:DES
Leti'e' bin áalkab te' taam paarkéeo'	To'one' bino'on áalkab te' taam paarkéeo'	PERSON:1_PL
Táan ek meyaj ich kool	Táan a meyaje'ex ich kool	PERSON:2_PL
Yaan wáaj u báaxal tu naajil báaxal	Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Táan u xook tu naajil xook	Táan k xook tu naajil xook	PERSON:1_PL
Mix leti' kajakbal ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Suuk in wilikech te' tu kúuchil báaxalo'	Suuk in wilikech te' tu kúuchil báaxalo'	NOCHANGE
To'one' jbúulo'on	Teche' jbúulech	PERSON:2_SI
Tu meentiko'ob janal ich kool	Ta meentike'ex janal ich kool	PERSON:2_PL
Tan a k'íilkab	Tan k k'íilkab	PERSON:1_PL
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	PERSON:2_PL
To'one' jbúulo'on	Leti'e' jbúulij	PERSON:3_SI
Múul kajakbal wáaj tu yéetel	Múul kajakbal wáaj tu yéetel	NOCHANGE
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	PERSON:3_PL
Te' k taal tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Te'exe' a k'aaba'exe'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Sáansamal ka bin merkaado	Sáansamal ku bino'ob merkaado	PERSON:3_PL
Suuk in wilikech te' tu kúuchil báaxalo'	K'a'abéet in wilikech te' tu kúuchil báaxalo'	ASPECT:OBL
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Te'exe' yaante'ex xook ti' español	Teche' Yaan tech xook ti' español	PERSON:2_SI
Mina'anten 18 ja'abo'ob	Mina'an wáaj ti' teen 18 ja'abo'ob	TYPE:NEG;SUBTYPE:INT
k'aaynaje'ex tu naajil xook	k'aaynaje'ex tu naajil xook	NOCHANGE
Jach k'a'abéet wáaj u bin ich kool	Ma' wáaj jach k'a'abéet u bin tu kooli'	TYPE:NEG;SUBTYPE:INT
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet u bin merkaado	PERSON:3_SI
Leti'obe' ku báaxalo'ob paarkée	Leti'obe' ku báaxalo'ob paarkée	NOCHANGE
Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
Ma' u yojelo'ob u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	NOCHANGE
To'one' in k'aaba'one'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
Táan in wilikech te' tu kúuchil báaxalo'	Táan in wilikech te' tu kúuchil báaxalo'	NOCHANGE
Suuk wáaj in jóok'ol koonol tu k'íiwikil koonol	Kin jóok'ol wáaj koonol tu k'íiwikil koonol	ASPECT:HAB;TENSE:PRE_SIM
To'one' ajkoonolo'on ichil merkaado	Te'exe' ajkoonole'ex ichil merkaado	PERSON:2_PL
Táan k suut tu naajil xook	Táan a suut tu naajil xook	PERSON:2_SI
Ma' táan a bin koonol tu k'íiwikil koonoli'	Ma' táan a bin koonol tu k'íiwikil koonoli'	NOCHANGE
Ma' táan a bin ich kooli'	Ma' táan a bin ich kooli'	NOCHANGE
Te'exe' ka báaxale'ex paarkée	Te'exe' ka báaxale'ex paarkée	NOCHANGE
Leti'e' ku bin xíimbal ta wotoch	Leti'e' ku bin xíimbal ta wotoch	NOCHANGE
Táan wáaj a xooke'ex xook tu naajil xook	Táan wáaj k xook tu naajil xook	PERSON:1_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Táan a suut tu naajil xook	Táan a suut tu naajil xook	NOCHANGE
To'one' kek bin paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	PERSON:2_PL
Ba'ax ja'abil jsíije'ex	Ba'ax ja'abil jsíijij	PERSON:3_SI
Yaan k suut tu naajil xook	Yaan u suut tu naajil xook	PERSON:3_SI
Ook'in u bino'ob k'íiwikil koonol	Ook'in a bine'ex k'íiwikil koonol	PERSON:2_PL
Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	Tu'ux k'íiwikil koonol káaj a jóok'ol koonol	ASPECT:BEG;TENSE:PAS_SIM
Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	NOCHANGE
Te'exe' ka taale'ex paak'áal ich kool	Leti'e' ku bin paak'áal ich kool	PERSON:3_SI
Táan wáaj k báaxal tu naajil báaxal	Táan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Ki'imak a wóol a bin merkaado	Ki'imak a wóol a bin merkaado	NOCHANGE
Ka'abeje' yaan a bine'ex koonol merkaado	Ka'abeje' yaan a bine'ex koonol merkaado	NOCHANGE
Káaj in bin koonol tu k'íiwikil koonol	Káaj in bin koonol tu k'íiwikil koonol	NOCHANGE
To'onen yaanto'on xook ti' español	Leti'e' yaan xook ti' español	PERSON:3_SI
Leti'e' ajkoonol ichil merkaado	Leti'e' ajkoonol ichil merkaado	NOCHANGE
Táant in bin koonol tu k'íiwikil koonole'	Táant in bin koonol tu k'íiwikil koonole'	NOCHANGE
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Leti'e' áak'ab ku bin tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Sáansamal ka bine'ex merkaado	Sáansamal ku bino'ob merkaado	PERSON:3_PL
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	NOCHANGE
Ta núukaj buka'aj a ja'abil	Tek núukaj buka'aj k ja'abil	PERSON:1_PL
Leti'e' u k'aaba'e'	Leti'obe' u k'aaba'obe'	ASPECT:HAB;PERSON:3_PL
Te' u taal tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Ma' tan u k'íilkabo'obi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	NOCHANGE
Yaan wáaj k xook tu naajil xook	Yaan wáaj u xooko'ob tu naajil xook	PERSON:3_PL
Taak in suut koonol merkaado	Taak in suut koonol merkaado	NOCHANGE
Táan ek meyaj ich kool	Táan u meyaj tu kool	PERSON:3_SI
Ba'ax ja'abil jsíijo'ob	Ba'ax ja'abil jsíije'ex	PERSON:2_PL
Ka'abeje' yaan a bin koonol merkaado	Ka'abeje' yaan a bin koonol merkaado	NOCHANGE
Ka'abeje' yaan a bine'ex koonol	Ka'abeje' yaan a bine'ex koonol	NOCHANGE
To'one' ti' in taalo'oni'	To'one' ti' k taali'	PERSON:1_PL
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ta meentike'ex janal ich kool	Tu meentik janal ich kool	PERSON:3_SI
Ook'in a bine'ex merkaado	Ook'in a bine'ex merkaado	NOCHANGE
Ma' tan k k'íilkabi'	Ma' tan u k'íilkabo'obi'	PERSON:3_PL
Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	NOCHANGE
Ma' tek u'uyik wáaj ooxoli'	Ma' ta wu'uyike'ex wáaj ooxoli'	PERSON:2_PL
Tu'ux kajakbal	Tu'ux kajakbalo'on	PERSON:1_PL
Jach k'a'abéet wáaj in bin ich kool	Jach k'a'abéet wáaj in bin ich kool	NOCHANGE
Ma' tu yu'ubik ooxoli'	Ma' tu yu'ubik ooxoli'	NOCHANGE
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Te'exe' ka wu'uyike'ex wáaj ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	NOCHANGE
Teche' ma' jbúulechi'	Te'exe' ma' jbúule'exi'	PERSON:2_PL
To'one' ts'oka'an wáaj k beel	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
Yaan u jochiko'ob chak nal tu koolo'ob	Yaan u jochiko'ob chak nal tu koolo'ob	NOCHANGE
Te'exe' a jatsmajaba'ex	To'one' k jatsmajekbáaj	PERSON:1_PL
Ma' kajakbal tin wotochi'	Ma' kajakbalo'ob tin wotochi'	PERSON:3_PL
Mina'an wáaj ti'ob 17 ja'abo'ob	Yaan wáaj ti' te'ex kex 17 ja'abo'ob	TYPE:NEG;SUBTYPE:INT
Ma' u yojel u ja'abili'	Ma' u yojelo'ob u ja'abili'	PERSON:3_PL
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Táan k suut tu naajil xook	Táan u suuto'ob tu naajil xook	PERSON:3_PL
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Táan wáaj a bine'ex koonol tu k'íiwikil koonol	Táan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Taak in suut koonol merkaado	Táant in suut koonol merkaadoe'	ASPECT:IMM;TENSE:PAS_SIM
Leti'obe' ti' u taalo'obi'	Leti'obe' ti' u taalo'obi'	NOCHANGE
Yaan in bisik ch'ujuko'ob tu k'íiwikil koonol	Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol	MARK:T
Táan wáaj a báaxale'ex báaxal tu naajil báaxal	Táan wáaj a báaxale'ex báaxal tu naajil báaxal	NOCHANGE
Táan in meyaj ich kool	Táan in meyaj ich kool	NOCHANGE
Jach k'a'abéet u bin merkaado	Jach k'a'abéet in bin merkaado	PERSON:1_SI
K'a'abéet wáaj in jóok'ol koonol tu k'íiwikil koonol	Suuk wáaj in jóok'ol koonol tu k'íiwikil koonol	ASPECT:CUS;TENSE:PRE_SIM
Táan wáaj a báaxale'ex báaxal tu naajil báaxal	Táan wáaj k báaxal tu naajil báaxal	PERSON:1_PL
Ma' tin wilaj u sáastal tin kaajali'	Ma' tin wilaj u sáastal tin kaajali'	NOCHANGE
ku yu'ubik wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Táan wáaj u bino'ob koonol tu k'íiwikil koonol	Táan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
To'one' áak'ab kek bin merkaado	Teche' áak'ab ka bin merkaado	PERSON:2_SI
To'onen yaanto'on meyaj biología	Teche' Yaan tech meyaj biología	PERSON:2_SI
Ma' u ya'alik u k'aaba'	Ma' k a'alik u k'aaba'	PERSON:1_PL
Yaan k báaxal tu naajil báaxal	Yaan u báaxal tu naajil báaxal	PERSON:3_SI
Yaan u suut tu naajil xook	Yaan k suut tu naajil xook	PERSON:1_PL
Leti'e' ku bin paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	PERSON:2_PL
Leti'e' ajkoonol ichil merkaado	Teche' ajkoonolech ichil merkaado	PERSON:2_SI
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet a bine'ex merkaado	PERSON:2_PL
Leti'e' áak'ab ku bin tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	NOCHANGE
Leti'e' áak'ab wáaj ku bin merkaado	Te'exe' áak'ab wáaj ka bine'ex merkaado	PERSON:2_PL
Ma' tan k k'íilkabi'	Ma' tan k k'íilkabi'	NOCHANGE
Yaan a jochik chak nal ta kool	Yaan u jochiko'ob chak nal tu koolo'ob	PERSON:3_PL
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Mix leti'ob kajakbalo'ob ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	NOCHANGE
Ma' jach k'a'abéet in bin merkaadoi'	Ma' jach k'a'abéet in bin merkaadoi'	NOCHANGE
Yaan u báaxal tu naajil báaxal	Yaan k báaxal tu naajil báaxal	PERSON:1_PL
Tene' áak'ab wáaj kin bin tu k'íiwikil koonol	Tene' áak'ab wáaj kin bin tu k'íiwikil koonol	NOCHANGE
Ook'in a bin ich kool	Ook'in u bino'ob tu koolo'ob	PERSON:3_PL
Ma' jach k'a'abéet u bin tu kooli'	Ma' wáaj jach k'a'abéet u bin tu kooli'	TYPE:NEG;SUBTYPE:INT
Yaan wáaj a bin ich kool	Yaan wáaj a bine'ex ich kool	PERSON:2_PL
To'one' ajkoonolo'on	Leti'e' ajkoonol	PERSON:3_SI
Suuk in suut koonol merkaado	Yaan in suut koonol merkaado	ASPECT:COM
Ta wile'ex u sáastal ta kaajale'ex	Ta wile'ex u sáastal ta kaajale'ex	NOCHANGE
Yaan u xook tu naajil xook	Yaan k xook tu naajil xook	PERSON:1_PL
Te' a taale'ex tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	NOCHANGE
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Teche' ka bin paak'áal ich kool wáaj	Teche' ka bin paak'áal ich kool wáaj	NOCHANGE
Jsa'atech te' paarkéeo'	Jsa'atech te' paarkéeo'	NOCHANGE
Jbino'ob yéetel u éetailo'ob merkaado	Jbine'ex yéetel a éetailo'ob merkaado	PERSON:2_PL
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	Kin manik nikte'ob tu k'íiwikil koonol	ASPECT:HAB
Táan u báaxalo'ob tu naajil báaxal	Táan a báaxal tu naajil báaxal	PERSON:2_SI
Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	NOCHANGE
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Tene' kin bin xíimbal tu najil	Tene' kin bin xíimbal tu najil	NOCHANGE
Jach k'a'abéet u bin tu k'íiwikil koonol	Jach k'a'abéet u bin tu k'íiwikil koonol	NOCHANGE
Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol	Yaan in k'a'aytik ch'ujuko'ob tu k'íiwikil koonol	MARK:T
Teche' jbúulech	Leti'e' jbúulij	PERSON:3_SI
Táan u boono'ob tu naajil xook	Táan u boono'ob tu naajil xook	NOCHANGE
Tu kaxko'ob a najil	Táan u kaxtik a najil	PERSON:3_SI
Ta meentik janal ich kool	Ta meentike'ex janal ich kool	PERSON:2_PL
Yaan u suut tu naajil xook	Yaan a suut tu naajil xook	PERSON:2_SI
Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	Ma' taak in bin maan tu k'íiwikil koonoli'	ASPECT:DES
Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
Yaan a báaxale'ex báaxal tu naajil báaxal	Yaan k báaxal tu naajil báaxal	PERSON:1_PL
Tene' ti' kajakbalen tu yotoche'	Tene' ti' kajakbalen tu yotoche'	NOCHANGE
Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	PERSON:3_SI
Ma' a wojel tu'ux u taali'	Ma' a wojel tu'ux u taali'	NOCHANGE
ku ts'íibo'ob tu naajil xook	ka ts'íibe'ex tu naajil xook	PERSON:2_PL
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Te'exe' ka bine'ex páak tu kool	Te'exe' ka bine'ex páak tu kool	NOCHANGE
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	NOCHANGE
Táan u boono'ob tu naajil xook	Táan a boone'ex xook tu naajil xook	PERSON:2_PL
Ma' táan k bin koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Táan a meyaj ich kool	Táan ek meyaj ich kool	PERSON:1_PL
Táan a boone'ex xook tu naajil xook	Táan u boon tu naajil xook	PERSON:3_SI
To'onen yaanto'on meyaj biología	Leti'e' yaan meyaj ti' biología	PERSON:3_SI
Táan wáaj a bine'ex ich kool	Táan wáaj a bine'ex ich kool	NOCHANGE
Taak in bin koonol tu k'íiwikil koonol	Kin bin koonol tu k'íiwikil koonol	ASPECT:HAB
Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	NOCHANGE
Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	Yaan wáaj k báaxal tu naajil báaxal	PERSON:1_PL
Yaan wáaj u bino'ob ich kool	Yaan wáaj u bino'ob ich kool	NOCHANGE
Te'exe' áak'ab wáaj ka bine'ex merkaado	Leti'e' áak'ab wáaj ku bin merkaado	PERSON:3_SI
Yaan in suut koonol merkaado	Káaj in suut koonol merkaado	ASPECT:BEG;TENSE:PAS_SIM
Te' u taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Táan wáaj k xook tu naajil xook	Táan wáaj u xooko'ob tu naajil xook	PERSON:3_PL
Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	Ma' suuk in bin maan tu k'íiwikil koonoli'	ASPECT:CUS
Mina'an wáaj ti'ob 17 ja'abo'ob	Mina'an wáaj ti'ob 17 ja'abo'ob	NOCHANGE
K'a'abéet in suut koonol merkaado	Kin in suut koonol merkaado	ASPECT:HAB
Ki'imak wáaj a wóol a bin tu k'íiwikil koonol	Ki'imak wáaj a wóol a bin tu k'íiwikil koonol	NOCHANGE
Jweeno'ob ich kool	Jweeno'ob ich kool	NOCHANGE
Leti'e' ku báaxal paarkée	Leti'e' ku báaxal paarkée	NOCHANGE
Jach k'a'abéet in bin merkaado	Jach k'a'abéet in bin merkaado	NOCHANGE
Teche' ti' a taali'	Teche' ti' a taali'	NOCHANGE
