Source	Change	Target
Be' dör ye' tsí bi'	"TENSE:IPFV_HAB, ASPECT:IPFV"	Be' dör ye' tsí bièke̠
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV"	Kë̀ be' dör ye' tsí bièku̠
Be' dör ye' tsí bi'	"TENSE:FUT_POT, ASPECT:IPFV"	Be' dör ye' tsí bièmi̠
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV"	Kë̀ be' dör ye' tsí biök
Be' dör ye' tsí bi'	"TENSE:FUT_CER, ASPECT:IPFV"	Be' dör ye' tsí bièrâ
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV"	Kë̀ be' dör ye' tsí bièpa
Be' dör ye' tsí bi'	"VOICE:MID, PERSON:NA"	Ye' tsí bìne̠
Be' dör ye' tsí bi'	"TYPE:NEG, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí bìne̠
Be' dör ye' tsí bi'	"TENSE:PRF_REC, VOICE:MID, PERSON:NA"	Ye' tsí bìna̠
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:PRF_REC, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí bìne̠
Be' dör ye' tsí bi'	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Ye' tsí bìr
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí bir
Be' dör ye' tsí bi'	"TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Ye' tsí bìrke̠
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí bìrku̠
Be' dör ye' tsí bi'	"TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Ye' tsí bìrmi̠
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí bìnu̠k
Be' dör ye' tsí bi'	"TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Ye' tsí bìrdâ
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí bìrpa
Be' dör ye' tsí bi'	TENSE:PAS_PLU	Be' wa̠ ye' tsí bírule
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:PAS_PLU"	Be' kë̀ wa̠ ye' tsí bírule
Be' dör ye' tsí bi'	"MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Be' a̠ ye' tsí bír
Be' dör ye' tsí bi'	"TYPE:NEG, MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ be' a̠ ye' tsí bír
Ye' e̠' tkë'rë	TENSE:PRF_REC	Ye' e̠' tkére
Ye' e̠' tkë'rë	PERSON:2_SI	Be' e̠' tkë'rë
Ye' e̠' tkë'rë	"TENSE:PRF_REC, PERSON:2_SI"	Be' e̠' tkére
Ye' e̠' tkë'rë	PERSON:3_SI	Ie' e̠' tkë'rë
Ye' e̠' tkë'rë	"TENSE:PRF_REC, PERSON:3_SI"	Ie' e̠' tkére
Ye' e̠' tkë'rë	"ABSNUM:PL, PERSON:1_PL_EXC"	Sa' e̠' tkë'rë
Ye' e̠' tkë'rë	"TENSE:PRF_REC, ABSNUM:PL, PERSON:1_PL_EXC"	Sa' e̠' tkére
Ye' e̠' tkë'rë	"ABSNUM:PL, PERSON:1_PL_INC"	Se' e̠' tkë'rë
Ye' e̠' tkë'rë	"TENSE:PRF_REC, ABSNUM:PL, PERSON:1_PL_INC"	Se' e̠' tkére
Ye' e̠' tkë'rë	"ABSNUM:PL, PERSON:2_PL"	A' e̠' tkë'rë
Ye' e̠' tkë'rë	"TENSE:PRF_REC, ABSNUM:PL, PERSON:2_PL"	A' e̠' tkére
Ye' e̠' tkë'rë	"ABSNUM:PL, PERSON:3_PL"	Ie'pa e̠' tkë'rë
Ye' e̠' tkë'rë	"TENSE:PRF_REC, ABSNUM:PL, PERSON:3_PL"	Ie'pa e̠' tkére
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' e̠' tkö̀rö
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI"	Be' e̠' tkö̀rö
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV, PERSON:3_SI"	Ie' e̠' tkö̀rö
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV, ABSNUM:PL, PERSON:1_PL_EXC"	Sa' e̠' tkö̀rö
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV, ABSNUM:PL, PERSON:1_PL_INC"	Se' e̠' tkö̀rö
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV, ABSNUM:PL, PERSON:2_PL"	A' e̠' tkö̀rö
Ye' e̠' tkë'rë	"TENSE:IPFV_REC, ASPECT:IPFV, ABSNUM:PL, PERSON:3_PL"	Ie'pa e̠' tkö̀rö
Ye' e̠' tkë'rë	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI"	Be' e̠' tkö́rö
Chìchi tö Po'tak kö'	TYPE:NEG	Chìchi kë̀ wa̠ Po'tak kö̀ne̠
Chìchi tö Po'tak kö'	ASPECT:INC	Chìchi tö Po'tak kö'mi̠
Chìchi tö Po'tak kö'	TENSE:PRF_REC	Chìchi tö Po'tak kué
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:PRF_REC"	Chìchi kë̀ wa̠ Po'tak kö̀ne̠
Chìchi tö Po'tak kö'	"TENSE:PRF_REC, ASPECT:INC"	Chìchi tö Po'tak kuémi̠
Chìchi tö Po'tak kö'	"TENSE:IPFV_REC, ASPECT:IPFV"	Chìchi tö Po'tak kuè
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ chìchi tö Po'tak kue
Chìchi tö Po'tak kö'	"TENSE:IPFV_PROG, ASPECT:IPFV"	Chìchi tso Po'tak kuö́k
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Chìchi kë̀ ku̠ Po'tak kuö́k
Chìchi tö Po'tak kö'	TENSE:PRF_PROG	Chìchi bák Po'tak kuö́k
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:PRF_PROG"	Chìchi kë̀ ku̠'bak Po'tak kuö́k
Chìchi tö Po'tak kö'	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV"	Po'tak kuö́
Chìchi tö Po'tak kö'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ Po'tak kuök
Chìchi tö Po'tak kö'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID"	Kë̀ Po'tak kuwar
Chìchi tö Po'tak kö'	"MODE:EXH, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:1_PL_INC"	Po'tak kuö̀ sö
Chìchi tö Po'tak kö'	"MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Chìchi é̠n a̠ Po'tak kua'ku̠
Chìchi tö Po'tak kö'	"TYPE:NEG, MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ chìchi é̠n a̠ Po'tak kua'ku̠
Chìchi tö Po'tak kö'	MODE:ADVERS	Chìchi wa̠ Po'tak kua'
Chìchi tö Po'tak kö'	"TENSE:IPFV_HAB, ASPECT:IPFV"	Chìchi tö Po'tak kuèke̠
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV"	Kë̀ chìchi tö Po'tak kuèku̠
Chìchi tö Po'tak kö'	"TENSE:FUT_POT, ASPECT:IPFV"	Chìchi tö Po'tak kuèmi̠
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV"	Kë̀ chìchi tö Po'tak kuök
Chìchi tö Po'tak kö'	"TENSE:FUT_CER, ASPECT:IPFV"	Chìchi tö Po'tak kuèrâ
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV"	Kë̀ chìchi tö Po'tak kuèpa
Chìchi tö Po'tak kö'	VOICE:MID	Po'tak kö̀ne̠
Chìchi tö Po'tak kö'	"TYPE:NEG, VOICE:MID"	Kë̀ Po'tak kö̀ne̠
Chìchi tö Po'tak kö'	"TENSE:PRF_REC, VOICE:MID"	Po'tak kö̀na̠
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:PRF_REC, VOICE:MID"	Kë̀ Po'tak kö̀ne̠
Chìchi tö Po'tak kö'	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID"	Po'tak kö̀r
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID"	Kë̀ Po'tak kör
Chìchi tö Po'tak kö'	"TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID"	Po'tak kö̀rke̠
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID"	Kë̀ Po'tak kö̀rku̠
Chìchi tö Po'tak kö'	"TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID"	Po'tak kö̀rmi̠
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID"	Kë̀ Po'tak kö̀nu̠k
Chìchi tö Po'tak kö'	"TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID"	Po'tak kö̀rdâ
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID"	Kë̀ Po'tak kö̀rpa
Chìchi tö Po'tak kö'	TENSE:PAS_PLU	Chìchi wa̠ Po'tak kö́rule
Chìchi tö Po'tak kö'	"TYPE:NEG, TENSE:PAS_PLU"	Chìchi kë̀ wa̠ Po'tak kö́rule
Chìchi tö Po'tak kö'	"MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Chìchi a̠ Po'tak kö́r
Chìchi tö Po'tak kö'	"TYPE:NEG, MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ chìchi a̠ Po'tak kö́r
